"Date","Price","Open","High","Low","Change %"
"04/15/2016","15.000","15.000","15.000","15.000","0.00%"
"04/14/2016","15.000","15.000","15.000","15.000","0.00%"
"04/13/2016","15.000","15.000","15.000","15.000","0.00%"
"04/12/2016","15.000","15.000","15.000","15.000","0.00%"
"04/11/2016","15.000","15.000","15.000","15.000","0.00%"
"04/08/2016","15.000","15.000","15.000","15.000","0.00%"
"04/07/2016","15.000","15.000","15.000","15.000","0.00%"
"04/06/2016","15.000","15.000","15.000","15.000","0.00%"
"04/05/2016","15.000","15.000","15.000","15.000","0.00%"
"04/04/2016","15.000","14.916","14.916","14.916","0.00%"
"04/01/2016","15.000","15.000","15.000","15.000","0.00%"
"03/31/2016","15.000","15.000","15.000","15.000","0.00%"
"03/30/2016","15.000","15.000","15.000","15.000","0.00%"
"03/29/2016","15.000","15.000","15.000","15.000","0.00%"
"03/28/2016","15.000","15.000","15.000","15.000","0.00%"
"03/25/2016","15.000","15.000","15.000","15.000","0.00%"
"03/24/2016","15.000","15.000","15.000","15.000","0.00%"
"03/23/2016","15.000","15.000","15.000","15.000","-1.64%"
"03/22/2016","15.250","15.250","15.250","15.250","5.17%"
"03/21/2016","14.500","14.500","14.500","14.500","0.00%"
"03/18/2016","14.500","14.500","14.500","14.500","0.00%"
"03/17/2016","14.500","14.500","14.500","14.500","0.00%"
"03/16/2016","14.500","14.500","14.500","14.500","1.75%"
"03/15/2016","14.250","14.250","14.250","14.250","0.00%"
"03/14/2016","14.250","14.250","14.250","14.250","1.90%"
"03/11/2016","13.984","13.984","13.984","13.984","-1.87%"
"03/10/2016","14.250","14.250","14.250","14.250","1.90%"
"03/09/2016","13.984","13.984","13.984","13.984","0.36%"
"03/08/2016","13.934","13.934","13.934","13.934","-2.22%"
"03/07/2016","14.250","14.250","14.250","14.250","0.00%"
"03/04/2016","14.250","14.250","14.250","14.250","0.00%"
"03/03/2016","14.250","14.250","14.250","14.250","-1.81%"
"03/02/2016","14.513","14.513","14.513","14.513","0.09%"
"03/01/2016","14.500","14.500","14.500","14.500","-0.09%"
"02/29/2016","14.513","14.513","14.513","14.513","0.09%"
"02/26/2016","14.500","14.500","14.500","14.500","0.00%"
"02/25/2016","14.500","14.500","14.500","14.500","-3.33%"
"02/24/2016","15.000","15.000","15.000","15.000","0.00%"
"02/23/2016","15.000","15.000","15.000","15.000","0.00%"
"02/22/2016","15.000","15.000","15.000","15.000","0.00%"
"02/19/2016","15.000","15.000","15.000","15.000","0.00%"
"02/18/2016","15.000","15.000","15.000","15.000","0.00%"
"02/17/2016","15.000","15.000","15.000","15.000","0.00%"
"02/16/2016","15.000","15.000","15.000","15.000","0.00%"
"02/15/2016","15.000","15.000","15.000","15.000","0.00%"
"02/14/2016","15.000","15.000","15.000","15.000","0.00%"
"02/12/2016","15.000","15.000","15.000","15.000","0.00%"
"02/11/2016","15.000","15.000","15.000","15.000","0.00%"
"02/10/2016","15.000","15.000","15.000","15.000","0.00%"
"02/09/2016","15.000","15.000","15.000","15.000","0.00%"
"02/08/2016","15.000","15.000","15.000","15.000","0.00%"
"02/05/2016","15.000","15.000","15.000","15.000","0.00%"
"02/04/2016","15.000","15.000","15.000","15.000","0.00%"
"02/03/2016","15.000","15.000","15.000","15.000","0.00%"
"02/02/2016","15.000","15.000","15.000","15.000","0.00%"
"02/01/2016","15.000","15.000","15.000","15.000","0.00%"
"01/29/2016","15.000","15.000","15.000","15.000","0.00%"
"01/28/2016","15.000","15.000","15.000","15.000","3.36%"
"01/27/2016","14.513","14.513","14.513","14.513","-3.25%"
"01/26/2016","15.000","15.000","15.000","15.000","0.00%"
"01/25/2016","15.000","15.000","15.000","15.000","0.00%"
"01/22/2016","15.000","15.000","15.000","15.000","6.75%"
"01/21/2016","14.052","14.052","14.052","14.052","-1.42%"
"01/20/2016","14.254","14.254","14.254","14.254","0.00%"
"01/19/2016","14.254","14.254","14.254","14.254","-1.78%"
"01/18/2016","14.513","14.513","14.513","14.513","1.82%"
"01/15/2016","14.254","14.254","14.254","14.254","0.00%"
"01/14/2016","14.254","14.254","14.254","14.254","0.00%"
"01/13/2016","14.254","14.204","14.204","14.204","0.00%"
"01/12/2016","14.254","14.254","14.254","14.254","0.00%"
"01/11/2016","14.254","14.254","14.254","14.254","0.00%"
"01/10/2016","14.254","14.254","14.254","14.254","0.00%"
"01/08/2016","14.254","14.254","14.254","14.254","0.00%"
"01/07/2016","14.254","14.254","14.254","14.254","0.00%"
"01/06/2016","14.254","14.254","14.254","14.254","0.00%"
"01/05/2016","14.254","14.204","14.204","14.204","0.00%"
"01/04/2016","14.254","14.254","14.254","14.254","0.00%"
"01/01/2016","14.254","14.254","14.254","14.254","0.00%"
"12/31/2015","14.254","14.254","14.254","14.254","0.00%"
"12/30/2015","14.254","14.254","14.254","14.254","0.00%"
"12/29/2015","14.254","14.254","14.254","14.254","0.00%"
"12/28/2015","14.254","14.254","14.254","14.254","0.00%"
"12/25/2015","14.254","14.254","14.254","14.254","0.00%"
"12/24/2015","14.254","14.254","14.254","14.254","0.00%"
"12/23/2015","14.254","14.254","14.254","14.254","0.00%"
"12/22/2015","14.254","14.254","14.254","14.254","0.00%"
"12/21/2015","14.254","14.254","14.254","14.254","0.00%"
"12/18/2015","14.254","14.254","14.254","14.254","0.00%"
"12/17/2015","14.254","14.254","14.254","14.254","0.00%"
"12/16/2015","14.254","14.254","14.254","14.254","0.00%"
"12/15/2015","14.254","14.254","14.254","14.254","0.00%"
"12/14/2015","14.254","14.254","14.254","14.254","0.00%"
"12/11/2015","14.254","14.254","14.254","14.254","-1.78%"
"12/10/2015","14.513","14.513","14.513","14.513","1.82%"
"12/09/2015","14.254","14.254","14.254","14.254","0.00%"
"12/08/2015","14.254","14.254","14.254","14.254","0.00%"
"12/07/2015","14.254","14.254","14.254","14.254","0.00%"
"12/04/2015","14.254","14.254","14.254","14.254","0.00%"
"12/03/2015","14.254","14.254","14.254","14.254","0.00%"
"12/02/2015","14.254","14.254","14.254","14.254","0.00%"
"12/01/2015","14.254","14.204","14.204","14.204","-1.78%"
"11/30/2015","14.513","14.513","14.513","14.513","0.00%"
"11/27/2015","14.513","14.513","14.513","14.513","1.82%"
"11/26/2015","14.254","14.254","14.254","14.254","0.00%"
"11/25/2015","14.254","14.254","14.254","14.254","-0.57%"
"11/24/2015","14.336","14.336","14.336","14.336","0.00%"
"11/23/2015","14.336","14.336","14.336","14.336","0.00%"
"11/22/2015","14.336","14.336","14.336","14.336","0.00%"
"11/20/2015","14.336","14.336","14.336","14.336","0.00%"
"11/19/2015","14.336","14.336","14.336","14.336","-9.65%"
"11/18/2015","15.867","15.867","15.867","15.867","0.00%"
"11/17/2015","15.867","15.867","15.867","15.867","0.00%"
"11/16/2015","15.867","15.867","15.867","15.867","0.00%"
"11/13/2015","15.867","15.817","15.817","15.817","0.00%"
"11/12/2015","15.867","15.867","15.867","15.867","0.00%"
"11/11/2015","15.867","15.867","15.867","15.867","0.00%"
"11/10/2015","15.867","15.867","15.867","15.867","0.00%"
"11/09/2015","15.867","15.867","15.867","15.867","0.00%"
"11/06/2015","15.867","15.867","15.867","15.867","0.00%"
"11/05/2015","15.867","15.867","15.867","15.867","0.00%"
"11/04/2015","15.867","15.867","15.867","15.867","0.00%"
"11/03/2015","15.867","15.867","15.867","15.867","0.00%"
"11/02/2015","15.867","15.867","15.867","15.867","0.00%"
"10/30/2015","15.867","15.867","15.867","15.867","0.00%"
"10/29/2015","15.867","15.867","15.867","15.867","0.00%"
"10/28/2015","15.867","15.867","15.867","15.867","0.00%"
"10/27/2015","15.867","15.867","15.867","15.867","0.00%"
"10/26/2015","15.867","15.867","15.867","15.867","0.00%"
"10/23/2015","15.867","15.867","15.867","15.867","6.30%"
"10/22/2015","14.926","14.500","14.926","14.500","2.94%"
"10/21/2015","14.500","14.500","14.500","14.500","0.00%"
"10/20/2015","14.500","14.500","14.500","14.500","0.00%"
"10/19/2015","14.500","14.500","14.500","14.500","0.00%"
"10/18/2015","14.500","14.500","14.500","14.500","0.00%"
"10/16/2015","14.500","14.500","14.500","14.500","0.00%"
"10/15/2015","14.500","14.500","14.500","14.500","0.00%"
"10/14/2015","14.500","14.500","14.500","14.500","0.00%"
"10/13/2015","14.500","14.500","14.500","14.500","0.00%"
"10/12/2015","14.500","14.500","14.500","14.500","0.00%"
"10/09/2015","14.500","14.500","14.500","14.500","0.00%"
"10/08/2015","14.500","14.500","14.500","14.500","0.00%"
"10/07/2015","14.500","14.500","14.500","14.500","0.00%"
"10/06/2015","14.500","14.500","14.500","14.500","0.00%"
"10/05/2015","14.500","14.500","14.500","14.500","0.00%"
"10/03/2015","14.500","14.500","14.500","14.500","0.00%"
"10/02/2015","14.500","14.500","14.500","14.500","0.00%"
"10/01/2015","14.500","14.500","14.500","14.500","0.00%"
"09/30/2015","14.500","14.500","14.500","14.500","0.00%"
"09/29/2015","14.500","14.500","14.500","14.500","-0.46%"
"09/28/2015","14.567","14.567","14.567","14.567","0.00%"
"09/27/2015","14.567","14.567","14.567","14.567","0.00%"
"09/25/2015","14.567","14.567","14.567","14.567","0.00%"
"09/24/2015","14.567","14.567","14.567","14.567","0.00%"
"09/23/2015","14.567","14.567","14.567","14.567","4.78%"
"09/22/2015","13.902","13.902","13.902","13.902","0.00%"
"09/21/2015","13.902","13.902","13.902","13.902","0.00%"
"09/18/2015","13.902","13.902","13.902","13.902","0.00%"
"09/17/2015","13.902","13.902","13.902","13.902","0.00%"
"09/16/2015","13.902","13.902","13.902","13.902","0.00%"
"09/15/2015","13.902","13.902","13.902","13.902","0.00%"
"09/14/2015","13.902","13.902","13.902","13.902","0.00%"
"09/11/2015","13.902","13.902","13.902","13.902","0.00%"
"09/10/2015","13.902","13.902","13.902","13.902","0.00%"
"09/09/2015","13.902","13.902","13.902","13.902","0.00%"
"09/08/2015","13.902","13.902","13.902","13.902","0.00%"
